dr_name,dataset_name,n_components,n_neighbors,accuracy,precision,recall,f1_score
PCA,AcademicSuccess,2,,0.6632768361581921,0.7347228966701628,0.6632768361581921,0.5916958017180788
PCA,AcademicSuccess,4,,0.6892655367231638,0.645587810426751,0.6892655367231638,0.6211979123184951
PCA,AcademicSuccess,6,,0.7163841807909604,0.6959356947223863,0.7163841807909604,0.6779205518747072
PCA,AcademicSuccess,8,,0.7107344632768362,0.6841967337259238,0.7107344632768362,0.6748323386970079
PCA,AcademicSuccess,10,,0.7175141242937854,0.6942984531715364,0.7175141242937854,0.6903904314853734
PCA,AcademicSuccess,12,,0.7231638418079096,0.701122134335739,0.7231638418079096,0.693829695538
PCA,AcademicSuccess,14,,0.7254237288135593,0.7061273607459365,0.7254237288135593,0.7042221099921615
PCA,AcademicSuccess,16,,0.7344632768361582,0.7169102505339165,0.7344632768361582,0.7153861336195151
PCA,BuyCoupon,2,,0.5648403626330312,0.5672235481304694,0.9889042995839112,0.7209302325581396
PCA,BuyCoupon,5,,0.584548679542767,0.587151841868823,0.9063800277392512,0.7126499454743731
PCA,BuyCoupon,8,,0.5888845092629089,0.5903942002718623,0.9036061026352288,0.7141682652781585
PCA,BuyCoupon,11,,0.6089869925108395,0.6080691642651297,0.8779472954230236,0.7185017026106697
PCA,BuyCoupon,14,,0.6184469846275128,0.6140519730510106,0.8848821081830791,0.7250000000000001
PCA,BuyCoupon,17,,0.6283011430823807,0.625062656641604,0.8647711511789181,0.7256328193191737
PCA,BuyCoupon,20,,0.653133622388648,0.6441025641025641,0.871012482662968,0.7405660377358491
PCA,BuyCoupon,23,,0.6543161214032321,0.6473656755346896,0.8606102635228848,0.7389103899970229
PCA,BuyCoupon,26,,0.662987780843516,0.6553732133403918,0.8585298196948682,0.7433203242269589
PCA,BuyCoupon,29,,0.6665352778872684,0.6619565217391304,0.8446601941747572,0.7422303473491774
PCA,DryBean,2,,0.8813808299669482,0.8843244259056775,0.8813808299669482,0.8789536856737367
PCA,DryBean,4,,0.8993756885787734,0.9005470549775895,0.8993756885787734,0.8990481345643544
PCA,DryBean,6,,0.9302240176276166,0.9309364266339312,0.9302240176276166,0.9304224615446598
PCA,FakeWebsite,2,,0.8977838082315694,0.9023218574859888,0.9155158407798538,0.9088709677419357
PCA,FakeWebsite,4,,0.8986883763003166,0.9123669123669124,0.9049553208773355,0.9086460032626428
PCA,FakeWebsite,6,,0.911352329262777,0.9136690647482014,0.9285134037367994,0.9210314262691376
PCA,FakeWebsite,8,,0.9312528267752148,0.9298804780876494,0.9480097481722176,0.9388576025744167
PCA,FakeWebsite,10,,0.9402985074626866,0.9357652656621728,0.958570268074736,0.9470304975922954
PCA,FakeWebsite,12,,0.939846223428313,0.933649289099526,0.9601949634443542,0.94673608329996
PCA,FakeWebsite,14,,0.9466304839439168,0.9364705882352942,0.9699431356620634,0.9529130087789306
PCA,Glass,2,,0.6976744186046512,0.7586831772878284,0.6976744186046512,0.6410941815913748
PCA,Grade,2,,0.975,0.9757602150537634,0.975,0.974836880818729
PCA,Heart,2,,0.7065217391304348,0.7105263157894737,0.7941176470588235,0.7499999999999999
PCA,Heart,4,,0.7336956521739131,0.7345132743362832,0.8137254901960784,0.772093023255814
PCA,Heart,6,,0.7336956521739131,0.7345132743362832,0.8137254901960784,0.772093023255814
PCA,Heart,8,,0.7336956521739131,0.7345132743362832,0.8137254901960784,0.772093023255814
PCA,Parkinsons,2,,0.7948717948717948,0.8,0.9655172413793104,0.8750000000000001
PCA,Parkinsons,4,,0.7948717948717948,0.8,0.9655172413793104,0.8750000000000001
PCA,Parkinsons,6,,0.7948717948717948,0.8181818181818182,0.9310344827586208,0.8709677419354839
PCA,Parkinsons,8,,0.8461538461538461,0.8285714285714286,1.0,0.90625
PCA,Parkinsons,10,,0.8461538461538461,0.8285714285714286,1.0,0.90625
PCA,StayHospital,2,,0.2955,0.79182025,0.2955,0.1348054805094558
PCA,StayHospital,4,,0.2955,0.79182025,0.2955,0.1348054805094558
PCA,StayHospital,6,,0.2955,0.79182025,0.2955,0.1348054805094558
PCA,StayHospital,8,,0.2955,0.79182025,0.2955,0.1348054805094558
PCA,StayHospital,10,,0.2955,0.79182025,0.2955,0.1348054805094558
PCA,StayHospital,12,,0.2955,0.79182025,0.2955,0.1348054805094558
PCA,StayHospital,14,,0.2955,0.79182025,0.2955,0.1348054805094558
PCA,StayHospital,16,,0.2955,0.79182025,0.2955,0.1348054805094558
PCA,StayHospital,18,,0.2955,0.79182025,0.2955,0.1348054805094558
PCA,StayHospital,20,,0.2955,0.79182025,0.2955,0.1348054805094558
PCA,StayHospital,22,,0.2955,0.79182025,0.2955,0.1348054805094558
PCA,StayHospital,24,,0.2955,0.79182025,0.2955,0.1348054805094558
PCA,Zoo,2,,0.9047619047619048,0.9325396825396824,0.9047619047619048,0.8811791383219953
PCA,Zoo,4,,0.9523809523809524,0.9642857142857144,0.9523809523809524,0.9319727891156462
PCA,Zoo,6,,0.9523809523809524,0.9642857142857144,0.9523809523809524,0.9319727891156462
