dr_name,dataset_name,n_components,n_neighbors,RMSE,MAE,MAE_percentage,R2,residuals_mean,residuals_var
ISOMAP,Credit,2,3,9104.93772359621,6110.438112753128,1.2050485175815615,7.44888015269396e-05,-303.6529204919317,92008539.8382689
ISOMAP,Credit,2,3,9104.93772359621,6110.438112753128,1.2050485175815615,7.44888015269396e-05,-303.6529204919317,92008539.8382689
ISOMAP,Credit,2,6,9104.687950270922,6109.652309492905,1.2049189312911126,0.000129349428107,-302.86709423215905,92004015.77226648
ISOMAP,Credit,4,3,9104.953738056278,6110.486426533909,1.2050567179121314,7.09713076703089e-05,-303.70122872346894,92008831.26201868
ISOMAP,Credit,4,3,9104.953738056278,6110.486426533909,1.2050567179121314,7.09713076703089e-05,-303.70122872346894,92008831.26201868
ISOMAP,Credit,4,6,9104.68795085453,6109.652311196941,1.2049189317877338,0.0001293492999239,-302.8670962334536,92004015.78272754
ISOMAP,Credit,6,3,9105.28169454677,6111.253968427885,1.205214583860126,-1.0640107797055265e-06,-304.4687702336643,92014948.3388899
ISOMAP,Credit,6,3,9105.28169454677,6111.253968427885,1.205214583860126,-1.0640107797055265e-06,-304.4687702336643,92014948.3388899
ISOMAP,Credit,6,6,9104.687951078336,6109.652311384723,1.204918931805602,0.0001293492507677,-302.867096142043,92004015.7873172
ISOMAP,Credit,8,3,9105.322133953554,6111.318733894811,1.2052342927870732,-9.946666137627956e-06,-304.5335353676936,92015722.7654455
ISOMAP,Credit,8,3,9105.322133953554,6111.318733894811,1.2052342927870732,-9.946666137627956e-06,-304.5335353676936,92015722.7654455
ISOMAP,Credit,8,6,9104.687951357064,6109.6523120216425,1.2049189319255391,0.0001293491895482,-302.8670966568276,92004015.79261015
ISOMAP,Credit,10,3,9105.328607209362,6111.331402831178,1.2052372867087595,-1.1368542794043536e-05,-304.54620422638726,92015845.17195164
ISOMAP,Credit,10,3,9105.328607209362,6111.331402831178,1.2052372867087595,-1.1368542794043536e-05,-304.54620422638726,92015845.17195164
ISOMAP,Credit,10,6,9104.687951657746,6109.65231238711,1.2049189320136433,0.0001293491235064,-302.8670968753173,92004015.79854672
ISOMAP,Admission,2,5,0.0739713599167799,0.0578283385293308,0.0887922979040279,0.7605616090509724,0.0136019912677313,0.005353668781256
ISOMAP,Admission,2,6,0.0742223565707917,0.0581054060582016,0.087827589101545,0.7589339467638624,0.0135491990645694,0.0053927872603852
ISOMAP,Admission,2,17,0.0763573501585416,0.0578223755978703,0.0901038672851154,0.7448660361141087,0.0071296590627483,0.0058527725416537
ISOMAP,Facebook,2,5,256.3060512126187,133.4747314685963,1.5786666716999145,-0.0598151800920603,68.17033060406209,61662.22011468524
ISOMAP,Facebook,2,7,256.20469474450016,133.58697280008016,1.58368435226608,-0.0589771360153958,67.57183237581114,61691.811190401815
ISOMAP,Facebook,2,20,255.1626136296924,131.98346365319233,1.5841675674379032,-0.0503801365050999,70.1368396770457,60796.75062065864
ISOMAP,Facebook,4,5,255.86193671112605,132.94294307929405,1.571567060839456,-0.0561455710195459,68.72066364634333,61356.36469249941
ISOMAP,Facebook,4,7,255.88149249664775,133.01654703687737,1.5701153917553636,-0.0563070217286729,68.48679560385486,61398.88588911901
ISOMAP,Facebook,4,20,255.99589787071784,132.06066965637362,1.5651290245383862,-0.0572517888890098,71.46158639710544,61037.51656186267
ISOMAP,Facebook,6,5,255.8057914732454,132.88892530007402,1.5696597812377655,-0.0556821098335238,68.75999844428932,61321.88440928772
ISOMAP,Facebook,6,7,255.70649893713144,132.95994340515233,1.5747065176931228,-0.0548627303355335,68.22726214822102,61344.29727115469
ISOMAP,Facebook,6,20,254.8755866202245,131.6083681864535,1.5567130256995594,-0.0480183649534537,70.02307199071085,60664.98388281548
ISOMAP,Facebook,8,5,255.74968522820217,132.94989702316968,1.574795910714874,-0.055219072126192,68.57470185736824,61318.59773686621
ISOMAP,Facebook,8,7,255.7325253980715,132.94415408088082,1.573504065127144,-0.0550774745125406,68.28038714451903,61350.4174523938
ISOMAP,Facebook,8,20,254.94576553673068,131.68484193143678,1.5603081644934034,-0.0485955792718688,69.91136253668789,60716.91389229641
