dr_name,dataset_name,n_components,n_neighbors,RMSE,MAE,MAE_percentage,R2,residuals_mean,residuals_var,n_instances
ISOMAP,Credit,2,3,9104.93772359621,6110.438112753128,1.2050485175815615,7.44888015269396e-05,-303.6529204919317,92008539.8382689,40.0
ISOMAP,Credit,2,3,9104.93772359621,6110.438112753128,1.2050485175815615,7.44888015269396e-05,-303.6529204919317,92008539.8382689,40.0
ISOMAP,Credit,2,6,9104.687950270922,6109.652309492905,1.2049189312911126,0.000129349428107,-302.86709423215905,92004015.77226648,40.0
ISOMAP,Credit,4,3,9104.953738056278,6110.486426533909,1.2050567179121314,7.09713076703089e-05,-303.70122872346894,92008831.26201868,40.0
ISOMAP,Credit,4,3,9104.953738056278,6110.486426533909,1.2050567179121314,7.09713076703089e-05,-303.70122872346894,92008831.26201868,40.0
ISOMAP,Credit,4,6,9104.68795085453,6109.652311196941,1.2049189317877338,0.0001293492999239,-302.8670962334536,92004015.78272754,40.0
ISOMAP,Credit,6,3,9105.28169454677,6111.253968427885,1.205214583860126,-1.0640107797055265e-06,-304.4687702336643,92014948.3388899,40.0
ISOMAP,Credit,6,3,9105.28169454677,6111.253968427885,1.205214583860126,-1.0640107797055265e-06,-304.4687702336643,92014948.3388899,40.0
ISOMAP,Credit,6,6,9104.687951078336,6109.652311384723,1.204918931805602,0.0001293492507677,-302.867096142043,92004015.7873172,40.0
ISOMAP,Credit,8,3,9105.322133953554,6111.318733894811,1.2052342927870732,-9.946666137627956e-06,-304.5335353676936,92015722.7654455,40.0
ISOMAP,Credit,8,3,9105.322133953554,6111.318733894811,1.2052342927870732,-9.946666137627956e-06,-304.5335353676936,92015722.7654455,40.0
ISOMAP,Credit,8,6,9104.687951357064,6109.6523120216425,1.2049189319255391,0.0001293491895482,-302.8670966568276,92004015.79261015,40.0
ISOMAP,Credit,10,3,9105.328607209362,6111.331402831178,1.2052372867087595,-1.1368542794043536e-05,-304.54620422638726,92015845.17195164,40.0
ISOMAP,Credit,10,3,9105.328607209362,6111.331402831178,1.2052372867087595,-1.1368542794043536e-05,-304.54620422638726,92015845.17195164,40.0
ISOMAP,Credit,10,6,9104.687951657746,6109.65231238711,1.2049189320136433,0.0001293491235064,-302.8670968753173,92004015.79854672,40.0
ISOMAP,Admission,2,5,0.0739713599167799,0.0578283385293308,0.0887922979040279,0.7605616090509724,0.0136019912677313,0.005353668781256,320.0
